#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot              
       7.303186944405e-04      -1.000777508557e+00      -2.511895827747e+00      -2.512258547920e+00      -9.393720266509e-01      -2.511173285630e+00 
       7.473300021525e-04      -9.921608241099e-01      -2.629674048005e+00      -2.630066807093e+00      -9.279749984983e-01      -2.628891461880e+00 
       7.647375541239e-04      -9.816648939053e-01      -2.752949580169e+00      -2.753374636842e+00      -9.147378889868e-01      -2.752103927216e+00 
       7.825505800689e-04      -9.693799221587e-01      -2.881976961103e+00      -2.882436715812e+00      -8.997758543863e-01      -2.881065234872e+00 
       8.007785246897e-04      -9.554283182151e-01      -3.017022364807e+00      -3.017519362880e+00      -8.832386906833e-01      -3.016041592263e+00 
       8.194310526839e-04      -9.399662041504e-01      -3.158364110433e+00      -3.158901046117e+00      -8.653122939923e-01      -3.157311370453e+00 
       8.385180538687e-04      -9.231852108289e-01      -3.306293211623e+00      -3.306872937541e+00      -8.462194639205e-01      -3.305165658628e+00 
       8.580496484247e-04      -9.053112945897e-01      -3.461113945371e+00      -3.461739468868e+00      -8.262198856104e-01      -3.459908821041e+00 
       8.780361922620e-04      -8.866054380005e-01      -3.623144438100e+00      -3.623818928654e+00      -8.056091376425e-01      -3.621859092039e+00 
       8.984882825106e-04      -8.673615366770e-01      -3.792717283076e+00      -3.793444077145e+00      -7.847165374301e-01      -3.791349189474e+00 
       9.194167631394e-04      -8.479029393722e-01      -3.970180190106e+00      -3.970962783507e+00      -7.639016657923e-01      -3.968726951127e+00 
       9.408327307060e-04      -8.285800378628e-01      -4.155896627098e+00      -4.156738698537e+00      -7.435494146305e-01      -4.154355999805e+00 
       9.627475402398e-04      -8.097610808850e-01      -4.350246586032e+00      -4.351151963110e+00      -7.240634237698e-01      -4.348616454860e+00 
       9.851728112630e-04      -7.918290445340e-01      -4.553627209794e+00      -4.554599908020e+00      -7.058578036120e-01      -4.551905616654e+00 
